title,url,rating,price,availability,price usd
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,three,30.52,instock,26.65
Chase Me (Paris Nights #2),chase-me-paris-nights-2_977/index.html,five,25.27,instock,22.07
Black Dust,black-dust_976/index.html,five,34.53,instock,30.15
Birdsong: A Story in Pictures,birdsong-a-story-in-pictures_975/index.html,three,54.64,instock,47.72
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,three,22.5,instock,19.65
Aladdin and His Wonderful Lamp,aladdin-and-his-wonderful-lamp_973/index.html,three,53.13,instock,46.4
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,five,40.3,instock,35.19
Wall and Piece,wall-and-piece_971/index.html,four,44.18,instock,38.58
The Four Agreements: A Practical Guide to Personal Freedom,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,five,17.66,instock,15.42
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,three,31.05,instock,27.12
The Elephant Tree,the-elephant-tree_968/index.html,five,23.82,instock,20.8
The Bear and the Piano,the-bear-and-the-piano_967/index.html,one,36.89,instock,32.22
Sophie's World,sophies-world_966/index.html,five,15.94,instock,13.92
Penny Maybe,penny-maybe_965/index.html,three,33.29,instock,29.07
Maude (1883-1993):She Grew Up with the country,maude-1883-1993she-grew-up-with-the-country_964/index.html,two,18.02,instock,15.74
"In a Dark, Dark Wood",in-a-dark-dark-wood_963/index.html,one,19.63,instock,17.14
Behind Closed Doors,behind-closed-doors_962/index.html,four,52.22,instock,45.6
You can't bury them all: Poems,you-cant-bury-them-all-poems_961/index.html,two,33.63,instock,29.37
Slow States of Collapse: Poems,slow-states-of-collapse-poems_960/index.html,three,57.31,instock,50.05
Reasons to Stay Alive,reasons-to-stay-alive_959/index.html,two,26.41,instock,23.06
Private Paris (Private #10),private-paris-private-10_958/index.html,five,47.61,instock,41.58
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,five,23.11,instock,20.18
Without Borders (Wanderlove #1),without-borders-wanderlove-1_956/index.html,two,45.07,instock,39.36
When We Collided,when-we-collided_955/index.html,one,31.77,instock,27.74
"We Love You, Charlie Freeman",we-love-you-charlie-freeman_954/index.html,five,50.27,instock,43.9
Untitled Collection: Sabbath Poems 2014,untitled-collection-sabbath-poems-2014_953/index.html,four,14.27,instock,12.46
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,four,44.18,instock,38.58
Unicorn Tracks,unicorn-tracks_951/index.html,three,18.78,instock,16.4
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,one,25.52,instock,22.29
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,one,16.28,instock,14.22
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,three,31.12,instock,27.18
This One Summer,this-one-summer_947/index.html,four,19.49,instock,17.02
Thirst,thirst_946/index.html,five,17.27,instock,15.08
The Torch Is Passed: A Harding Family Story,the-torch-is-passed-a-harding-family-story_945/index.html,one,19.09,instock,16.67
The Secret of Dreadwillow Carse,the-secret-of-dreadwillow-carse_944/index.html,one,56.13,instock,49.02
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,one,56.41,instock,49.26
The Past Never Ends,the-past-never-ends_942/index.html,four,56.5,instock,49.34
The Natural History of Us (The Fine Art of Pretending #2),the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,three,45.22,instock,39.49
The Nameless City (The Nameless City #1),the-nameless-city-the-nameless-city-1_940/index.html,four,38.16,instock,33.32
The Murder That Never Was (Forensic Instincts #5),the-murder-that-never-was-forensic-instincts-5_939/index.html,three,54.11,instock,47.25
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,four,42.96,instock,37.52
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,four,23.89,instock,20.86
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,three,16.77,instock,14.65
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,five,20.59,instock,17.98
The Gutsy Girl: Escapades for Your Life of Epic Adventure,the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,one,37.13,instock,32.43
The Electric Pencil: Drawings from Inside State Hospital No. 3,the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,one,56.06,instock,48.96
The Death of Humanity: and the Case for Life,the-death-of-humanity-and-the-case-for-life_932/index.html,four,58.11,instock,50.75
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,three,49.05,instock,42.83
The Art Forger,the-art-forger_930/index.html,three,40.76,instock,35.6
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,one,19.73,instock,17.23
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,five,32.24,instock,28.15
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,four,41.83,instock,36.53
Soul Reader,soul-reader_926/index.html,two,39.58,instock,34.56
Security,security_925/index.html,two,39.25,instock,34.28
"Saga, Volume 6 (Saga (Collected Editions) #6)",saga-volume-6-saga-collected-editions-6_924/index.html,three,25.02,instock,21.85
"Saga, Volume 5 (Saga (Collected Editions) #5)",saga-volume-5-saga-collected-editions-5_923/index.html,two,51.04,instock,44.57
Reskilling America: Learning to Labor in the Twenty-First Century,reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,two,19.83,instock,17.32
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,three,50.4,instock,44.01
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,five,13.61,instock,11.89
Princess Between Worlds (Wide-Awake Princess #5),princess-between-worlds-wide-awake-princess-5_919/index.html,five,13.34,instock,11.65
"Pop Gun War, Volume 1: Gift",pop-gun-war-volume-1-gift_918/index.html,one,18.97,instock,16.57
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,two,36.28,instock,31.68
Patience,patience_916/index.html,three,10.16,instock,8.87
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,four,15.44,instock,13.48
orange: The Complete Collection 1 (orange: The Complete Collection #1),orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,one,48.41,instock,42.28
Online Marketing for Busy Authors: A Step-By-Step Guide,online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html,one,46.35,instock,40.48
On a Midnight Clear,on-a-midnight-clear_912/index.html,three,14.07,instock,12.29
Obsidian (Lux #1),obsidian-lux-1_911/index.html,two,14.86,instock,12.98
My Paris Kitchen: Recipes and Stories,my-paris-kitchen-recipes-and-stories_910/index.html,two,33.37,instock,29.14
Masks and Shadows,masks-and-shadows_909/index.html,two,56.4,instock,49.25
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html,four,14.02,instock,12.24
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,two,46.91,instock,40.97
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,three,45.61,instock,39.83
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,two,19.92,instock,17.4
"Layered: Baking, Building, and Styling Spectacular Cakes",layered-baking-building-and-styling-spectacular-cakes_904/index.html,one,40.11,instock,35.03
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html,two,53.9,instock,47.07
Join,join_902/index.html,five,35.67,instock,31.15
In the Country We Love: My Family Divided,in-the-country-we-love-my-family-divided_901/index.html,four,22.0,instock,19.21
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html,five,57.36,instock,50.09
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,two,29.17,instock,25.47
I am a Hero Omnibus Volume 1,i-am-a-hero-omnibus-volume-1_898/index.html,three,54.63,instock,47.71
How to Be Miserable: 40 Strategies You Already Use,how-to-be-miserable-40-strategies-you-already-use_897/index.html,one,46.03,instock,40.2
Her Backup Boyfriend (The Sorensen Family #1),her-backup-boyfriend-the-sorensen-family-1_896/index.html,one,33.97,instock,29.67
"Giant Days, Vol. 2 (Giant Days #5-8)",giant-days-vol-2-giant-days-5-8_895/index.html,two,22.11,instock,19.31
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,three,29.69,instock,25.93
First and First (Five Boroughs #3),first-and-first-five-boroughs-3_893/index.html,four,15.97,instock,13.95
Fifty Shades Darker (Fifty Shades #2),fifty-shades-darker-fifty-shades-2_892/index.html,one,21.96,instock,19.18
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html,two,54.35,instock,47.46
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html,two,37.97,instock,33.16
Danganronpa Volume 1,danganronpa-volume-1_889/index.html,four,51.99,instock,45.4
Crown of Midnight (Throne of Glass #2),crown-of-midnight-throne-of-glass-2_888/index.html,three,43.29,instock,37.8
"Codename Baboushka, Volume 1: The Conclave of Death",codename-baboushka-volume-1-the-conclave-of-death_887/index.html,four,36.72,instock,32.07
Camp Midnight,camp-midnight_886/index.html,four,17.08,instock,14.92
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html,five,29.14,instock,25.45
Burning,burning_884/index.html,three,28.81,instock,25.16
Bossypants,bossypants_883/index.html,two,49.46,instock,43.19
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html,two,37.92,instock,33.12
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html,two,28.09,instock,24.53
Algorithms to Live By: The Computer Science of Human Decisions,algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html,one,30.81,instock,26.91
A World of Flavor: Your Gluten Free Passport,a-world-of-flavor-your-gluten-free-passport_879/index.html,one,42.95,instock,37.51
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html,five,56.76,instock,49.57
A Murder in Time,a-murder-in-time_877/index.html,one,16.64,instock,14.53
A Flight of Arrows (The Pathfinders #2),a-flight-of-arrows-the-pathfinders-2_876/index.html,five,55.53,instock,48.49
A Fierce and Subtle Poison,a-fierce-and-subtle-poison_875/index.html,four,28.13,instock,24.57
A Court of Thorns and Roses (A Court of Thorns and Roses #1),a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html,one,52.37,instock,45.73
(Un)Qualified: How God Uses Broken People to Do Big Things,unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html,five,54.0,instock,47.16
You Are What You Love: The Spiritual Power of Habit,you-are-what-you-love-the-spiritual-power-of-habit_872/index.html,four,21.87,instock,19.1
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html,four,43.3,instock,37.81
Tuesday Nights in 1980,tuesday-nights-in-1980_870/index.html,two,21.04,instock,18.37
Tracing Numbers on a Train,tracing-numbers-on-a-train_869/index.html,three,41.6,instock,36.33
Throne of Glass (Throne of Glass #1),throne-of-glass-throne-of-glass-1_868/index.html,three,35.07,instock,30.63
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html,one,59.64,instock,52.08
Thirteen Reasons Why,thirteen-reasons-why_866/index.html,one,52.72,instock,46.04
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,four,58.08,instock,50.72
The Wedding Dress,the-wedding-dress_864/index.html,one,24.12,instock,21.06
The Vacationers,the-vacationers_863/index.html,four,42.15,instock,36.81
The Third Wave: An Entrepreneurâs Vision of the Future,the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html,five,12.61,instock,11.01
The Stranger,the-stranger_861/index.html,four,17.44,instock,15.23
The Shadow Hero (The Shadow Hero),the-shadow-hero-the-shadow-hero_860/index.html,one,33.14,instock,28.94
The Secret (The Secret #1),the-secret-the-secret-1_859/index.html,four,27.37,instock,23.9
The Regional Office Is Under Attack!,the-regional-office-is-under-attack_858/index.html,five,51.36,instock,44.85
The Psychopath Test: A Journey Through the Madness Industry,the-psychopath-test-a-journey-through-the-madness-industry_857/index.html,two,36.0,instock,31.44
The Project,the-project_856/index.html,one,10.65,instock,9.3
The Power of Now: A Guide to Spiritual Enlightenment,the-power-of-now-a-guide-to-spiritual-enlightenment_855/index.html,two,43.54,instock,38.02
The Omnivore's Dilemma: A Natural History of Four Meals,the-omnivores-dilemma-a-natural-history-of-four-meals_854/index.html,two,38.21,instock,33.37
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,the-nerdy-nummies-cookbook-sweet-treats-for-the-geek-in-all-of-us_853/index.html,five,37.34,instock,32.61
The Murder of Roger Ackroyd (Hercule Poirot #4),the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,four,44.1,instock,38.51
The Mistake (Off-Campus #2),the-mistake-off-campus-2_851/index.html,three,43.29,instock,37.8
The Matchmaker's Playbook (Wingmen Inc. #1),the-matchmakers-playbook-wingmen-inc-1_850/index.html,one,55.85,instock,48.77
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,the-love-and-lemons-cookbook-an-apple-to-zucchini-celebration-of-impromptu-cooking_849/index.html,two,37.6,instock,32.84
The Long Shadow of Small Ghosts: Murder and Memory in an American City,the-long-shadow-of-small-ghosts-murder-and-memory-in-an-american-city_848/index.html,one,10.97,instock,9.58
The Kite Runner,the-kite-runner_847/index.html,four,41.82,instock,36.52
The House by the Lake,the-house-by-the-lake_846/index.html,one,36.95,instock,32.27
The Glittering Court (The Glittering Court #1),the-glittering-court-the-glittering-court-1_845/index.html,one,44.28,instock,38.67
The Girl on the Train,the-girl-on-the-train_844/index.html,two,55.02,instock,48.05
The Genius of Birds,the-genius-of-birds_843/index.html,one,17.24,instock,15.06
The Emerald Mystery,the-emerald-mystery_842/index.html,two,23.15,instock,20.22
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,the-cookies-cups-cookbook-125-sweet-savory-recipes-reminding-you-to-always-eat-dessert-first_841/index.html,one,41.25,instock,36.02
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,the-bridge-to-consciousness-im-writing-the-bridge-between-science-and-our-old-and-new-beliefs_840/index.html,three,32.0,instock,27.95
The Artist's Way: A Spiritual Path to Higher Creativity,the-artists-way-a-spiritual-path-to-higher-creativity_839/index.html,five,38.49,instock,33.61
The Art of War,the-art-of-war_838/index.html,five,33.34,instock,29.12
The Argonauts,the-argonauts_837/index.html,two,10.93,instock,9.55
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,the-10-entrepreneur-live-your-startup-dream-without-quitting-your-day-job_836/index.html,three,27.55,instock,24.06
Suddenly in Love (Lake Haven #1),suddenly-in-love-lake-haven-1_835/index.html,two,55.99,instock,48.9
Something More Than This,something-more-than-this_834/index.html,four,16.24,instock,14.18
Soft Apocalypse,soft-apocalypse_833/index.html,two,26.12,instock,22.81
So You've Been Publicly Shamed,so-youve-been-publicly-shamed_832/index.html,two,12.23,instock,10.68
Shoe Dog: A Memoir by the Creator of NIKE,shoe-dog-a-memoir-by-the-creator-of-nike_831/index.html,two,23.99,instock,20.95
"Shobu Samurai, Project Aryoku (#3)",shobu-samurai-project-aryoku-3_830/index.html,three,29.06,instock,25.38
Secrets and Lace (Fatal Hearts #1),secrets-and-lace-fatal-hearts-1_829/index.html,one,20.27,instock,17.7
Scarlett Epstein Hates It Here,scarlett-epstein-hates-it-here_828/index.html,five,43.55,instock,38.03
Romero and Juliet: A Tragic Tale of Love and Zombies,romero-and-juliet-a-tragic-tale-of-love-and-zombies_827/index.html,one,36.94,instock,32.26
Redeeming Love,redeeming-love_826/index.html,five,20.47,instock,17.88
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,poses-for-artists-volume-1-dynamic-and-sitting-poses-an-essential-reference-for-figure-drawing-and-the-human-form_825/index.html,one,41.06,instock,35.86
Poems That Make Grown Women Cry,poems-that-make-grown-women-cry_824/index.html,four,14.19,instock,12.39
"Nightingale, Sing",nightingale-sing_823/index.html,one,38.28,instock,33.43
Night Sky with Exit Wounds,night-sky-with-exit-wounds_822/index.html,one,41.05,instock,35.85
Mrs. Houdini,mrs-houdini_821/index.html,five,30.25,instock,26.42
Modern Romance,modern-romance_820/index.html,five,28.26,instock,24.68
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),miss-peregrines-home-for-peculiar-children-miss-peregrines-peculiar-children-1_819/index.html,one,10.76,instock,9.4
Louisa: The Extraordinary Life of Mrs. Adams,louisa-the-extraordinary-life-of-mrs-adams_818/index.html,two,16.85,instock,14.71
Little Red,little-red_817/index.html,three,13.47,instock,11.76
Library of Souls (Miss Peregrineâs Peculiar Children #3),library-of-souls-miss-peregrines-peculiar-children-3_816/index.html,five,48.56,instock,42.41
Large Print Heart of the Pride,large-print-heart-of-the-pride_815/index.html,two,19.15,instock,16.72
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,four,57.36,instock,50.09
Hollow City (Miss Peregrineâs Peculiar Children #2),hollow-city-miss-peregrines-peculiar-children-2_813/index.html,one,42.98,instock,37.53
Grumbles,grumbles_812/index.html,two,22.16,instock,19.35
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,four,49.43,instock,43.17
Frostbite (Vampire Academy #2),frostbite-vampire-academy-2_810/index.html,five,29.99,instock,26.19
Follow You Home,follow-you-home_809/index.html,one,21.36,instock,18.65
First Steps for New Christians (Print Edition),first-steps-for-new-christians-print-edition_808/index.html,one,29.0,instock,25.33
Finders Keepers (Bill Hodges Trilogy #2),finders-keepers-bill-hodges-trilogy-2_807/index.html,five,53.53,instock,46.75
"Fables, Vol. 1: Legends in Exile (Fables #1)",fables-vol-1-legends-in-exile-fables-1_806/index.html,four,41.62,instock,36.35
Eureka Trivia 6.0,eureka-trivia-60_805/index.html,four,54.59,instock,47.67
Drive: The Surprising Truth About What Motivates Us,drive-the-surprising-truth-about-what-motivates-us_804/index.html,four,34.95,instock,30.52
Done Rubbed Out (Reightman & Bailey #1),done-rubbed-out-reightman-bailey-1_803/index.html,five,37.72,instock,32.94
Doing It Over (Most Likely To #1),doing-it-over-most-likely-to-1_802/index.html,three,35.61,instock,31.1
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",deliciously-ella-every-day-quick-and-easy-recipes-for-gluten-free-snacks-packed-lunches-and-simple-meals_801/index.html,three,42.16,instock,36.82
Dark Notes,dark-notes_800/index.html,five,19.19,instock,16.76
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",daring-greatly-how-the-courage-to-be-vulnerable-transforms-the-way-we-live-love-parent-and-lead_799/index.html,three,19.43,instock,16.97
Close to You,close-to-you_798/index.html,four,49.46,instock,43.19
Chasing Heaven: What Dying Taught Me About Living,chasing-heaven-what-dying-taught-me-about-living_797/index.html,two,37.8,instock,33.01
Big Magic: Creative Living Beyond Fear,big-magic-creative-living-beyond-fear_796/index.html,three,30.8,instock,26.9
Becoming Wise: An Inquiry into the Mystery and Art of Living,becoming-wise-an-inquiry-into-the-mystery-and-art-of-living_795/index.html,two,27.43,instock,23.95
Beauty Restored (Riley Family Legacy Novellas #3),beauty-restored-riley-family-legacy-novellas-3_794/index.html,two,11.11,instock,9.7
Batman: The Long Halloween (Batman),batman-the-long-halloween-batman_793/index.html,two,36.5,instock,31.87
Batman: The Dark Knight Returns (Batman),batman-the-dark-knight-returns-batman_792/index.html,five,15.38,instock,13.43
Ayumi's Violin,ayumis-violin_791/index.html,two,15.48,instock,13.52
Anonymous,anonymous_790/index.html,four,46.82,instock,40.89
Amy Meets the Saints and Sages,amy-meets-the-saints-and-sages_789/index.html,three,18.46,instock,16.12
Amid the Chaos,amid-the-chaos_788/index.html,one,36.58,instock,31.94
Amatus,amatus_787/index.html,five,50.54,instock,44.14
Agnostic: A Spirited Manifesto,agnostic-a-spirited-manifesto_786/index.html,five,12.51,instock,10.92
Zealot: The Life and Times of Jesus of Nazareth,zealot-the-life-and-times-of-jesus-of-nazareth_785/index.html,three,24.7,instock,21.57
You (You #1),you-you-1_784/index.html,five,43.61,instock,38.08
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html,four,37.34,instock,32.61
Wild Swans,wild-swans_782/index.html,two,14.36,instock,12.54
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,why-the-right-went-wrong-conservatism-from-goldwater-to-the-tea-party-and-beyond_781/index.html,four,52.65,instock,45.98
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,whole-lotta-creativity-going-on-60-fun-and-unusual-exercises-to-awaken-and-strengthen-your-creativity_780/index.html,four,38.2,instock,33.36
What's It Like in Space?: Stories from Astronauts Who've Been There,whats-it-like-in-space-stories-from-astronauts-whove-been-there_779/index.html,two,19.6,instock,17.12
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html,one,53.9,instock,47.07
Walt Disney's Alice in Wonderland,walt-disneys-alice-in-wonderland_777/index.html,five,12.96,instock,11.32
V for Vendetta (V for Vendetta Complete),v-for-vendetta-v-for-vendetta-complete_776/index.html,four,37.1,instock,32.4
